ma,cay,ma1,khoa,loai,vido,tenhc,kinhdo,matinh,tentinh,matinhxa,dansonguoi,trungtamhc,dientichkm2,truocsapnhap,area
1054,1034.1054,1000,4Cát Hải,đặc khu,20.8087,Cát Hải,106.869,4,thành phố Hải Phòng,4.1,71211,"Trụ sở UBND huyện Cát Hải, đường Hà Sen, thị trấn Cát Bà và trụ sở UBND thị trấn Cát Hải",286.98,"Thị trấn Cát Hải, Thị trấn Cát Bà, Xã Đồng Bài, Xã Hoàng Châu, Xã Nghĩa Lộ, Xã Văn Phong, Xã Gia Luận, Xã Hiền Hào, Xã Phù Long, Xã Trân Châu, Xã Việt Hải, Xã Xuân Đám",238196066.0
2789,2687.2789,1,29Phú Lợi,phường,10.9861,Phú Lợi,106.676,29,thành phố Hồ Chí Minh,29.1,107721,"438 đường Phú Lợi, khu phố 8, phường Phú Hòa, TP Thủ Dầu Một, tỉnh Bình Dương cũ",17.96,"Phường Phú Hòa, Phường Phú Lợi, Phường Hiệp Thành (thành phố Thủ Dầu Một)",18071404.0
2839,2687.2839,2,29Thủ Dầu Một,phường,10.9701,Thủ Dầu Một,106.659,29,thành phố Hồ Chí Minh,29.2,88132,"1 đường Quang Trung, khu phố 6, phường Phú Cường, TP Thủ Dầu Một, tỉnh Bình Dương cũ",15.68,"Phường Phú Cường, Phường Phú Thọ, Phường Chánh Nghĩa, Phường Hiệp Thành (thành phố Thủ Dầu Một), Phường Chánh Mỹ",15637769.0
2734,2687.2734,3,29Chánh Hiệp,phường,11.0147,Chánh Hiệp,106.64,29,thành phố Hồ Chí Minh,29.3,56387,"279 đường Hồ Văn Cống, khu phố 3, phường Tương Bình Hiệp, TP Thủ Dầu Một, tỉnh Bình Dương cũ",19.66,"Phường Định Hòa, Phường Tương Bình Hiệp, Phường Hiệp An, Phường Chánh Mỹ",20579900.0
2712,2687.2712,4,29Bình Dương,phường,11.0528,Bình Dương,106.687,29,thành phố Hồ Chí Minh,29.4,107576,"357 đường Võ Nguyên Giáp, khu phố 1, phường Hòa Phú, TP Thủ Dầu Một, tỉnh Bình Dương cũ",58.16,"Phường Phú Mỹ (thành phố Thủ Dầu Một), Phường Hòa Phú, Phường Phú Tân, Phường Phú Chánh",58565275.0
2744,2687.2744,5,29Dầu Tiếng,xã,11.3421,Dầu Tiếng,106.394,29,thành phố Hồ Chí Minh,29.5,39056,"Đường Hùng Vương, KP4B, thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương cũ",182.69,"Thị trấn Dầu Tiếng, Xã Định An, Xã Định Thành, Xã Định Hiệp",184351019.0
2778,2687.2778,6,29Minh Thạnh,xã,11.4477,Minh Thạnh,106.471,29,thành phố Hồ Chí Minh,29.6,24215,"Tổ 3, ấp Hòa Cường, xã Minh Hòa, huyện Dầu Tiếng, tỉnh Bình Dương cũ",159.06,"Xã Minh Hòa, Xã Minh Tân, Xã Minh Thạnh",164561419.0
2771,2687.2771,7,29Long Hòa,xã,11.3278,Long Hòa,106.507,29,thành phố Hồ Chí Minh,29.7,25215,"Tổ 9, ấp Long Điền, xã Long Hòa, huyện Dầu Tiếng, tỉnh Bình Dương cũ",166.76,"Xã Long Tân, Xã Long Hòa (huyện Dầu Tiếng), Xã Minh Tân, Xã Minh Thạnh",161906673.0
2830,2687.283,8,29Tây Nam,phường,11.178,Tây Nam,106.501,29,thành phố Hồ Chí Minh,29.8,56784,"Khu phố Lồ ồ, phường An Tây, TP Bến Cát, tỉnh Bình Dương cũ",119.80,"Phường An Tây, Xã Thanh Tuyền, Xã An Lập",115970479.0
2833,2687.2833,9,29Thanh An,xã,11.2428,Thanh An,106.437,29,thành phố Hồ Chí Minh,29.9,25324,"Tổ 1, ấp Cần Giăng, xã Thanh An, huyện Dầu Tiếng, tỉnh Bình Dương cũ",136.72,"Xã Thanh An, Xã Định Hiệp, Xã Thanh Tuyền, Xã An Lập",140742280.0
