name,latitude,longitude
Thành phố Hải Phòng,20.8623278,106.6799266
Thành phố Hồ Chí Minh,10.7755254,106.7021047
Cà Mau,9.0180177,105.0869724
Gia Lai,14.0201373,108.6354524
Đồng Tháp,10.425183,105.9271362
Thành phố Cần Thơ,10.0362046,105.7872656
Lâm Đồng,11.6614957,108.1335279
An Giang,10.3188672,105.0432488
Quảng Ngãi,14.9953739,108.691729
Quảng Trị,17.2166964,106.9548246
Hưng Yên,20.6065846,106.2843471
Cao Bằng,22.7426936,106.1060926
Lào Cai,22.3069302,104.1829592
Ninh BÌnh,20.2421142,105.9746207
Khánh Hòa,12.2980751,108.9950386
Thái Nguyên,21.9610968,105.8440789
Tây Ninh,11.0800527,106.2610531
Sơn La,21.2276769,104.1575944
Nghệ An,19.1976001,105.060676
Phú Thọ,21.3007538,105.1349604
Thành phố Huế,16.4639321,107.5863388
Lạng Sơn,21.8487579,106.6140692
Quảng Ninh,21.1718046,107.2012742
Thành phố Đà Nẵng,16.068,108.212
Hà Tĩnh,18.3504832,105.7623047
Lai Châu,22.2921668,103.1798662
Bắc Ninh,21.3282166,106.4625257
Điện Biên,21.6546566,103.2168632
Đồng Nai,11.4285446,107.1624245
Tuyên Quang,22.3382057,105.0715846
Vĩnh Long,10.046765,106.2947443
Thanh Hóa,19.9781573,105.4816107
Đắk Lắk,12.8741856,108.7979302
Thủ đô Hà Nội,21.0111855,105.7886329
